Goles - tal - otro - e - u 
59 - 18 - 63 - 44 - 69
27 - 94 - 26 - 49 - 30
78 - 88 - 69 - 32 - 34
30 - 20 - 37 - 93 - 50
77 - 5 - 96 - 60 - 16
60 - 10 - 92 - 80 - 95
84 - 25 - 6 - 21 - 21
85 - 13 - 15 - 17 - 27
23 - 93 - 89 - 0 - 19
73 - 67 - 6 - 58 - 15
53 - 96 - 55 - 22 - 44
69 - 23 - 85 - 44 - 19
43 - 4 - 85 - 25 - 10
45 - 81 - 22 - 37 - 35
24 - 97 - 17 - 71 - 69
97 - 40 - 14 - 65 - 40
70 - 17 - 9 - 75 - 39
63 - 37 - 8 - 38 - 43
51 - 11 - 11 - 10 - 92
15 - 11 - 19 - 30 - 50
90 - 86 - 20 - 19 - 49
48 - 6 - 33 - 6 - 28
56 - 87 - 5 - 88 - 8
55 - 10 - 95 - 73 - 59
87 - 75 - 64 - 93 - 53
11 - 49 - 76 - 17 - 66
79 - 20 - 47 - 79 - 4
44 - 90 - 97 - 63 - 36
0 - 19 - 10 - 33 - 78
54 - 92 - 11 - 29 - 14
25 - 23 - 29 - 70 - 7
15 - 47 - 62 - 36 - 74
4 - 79 - 95 - 36 - 5
7 - 90 - 3 - 45 - 25
30 - 86 - 31 - 77 - 2
13 - 79 - 56 - 84 - 2
80 - 70 - 10 - 55 - 6
23 - 33 - 88 - 74 - 79
81 - 21 - 85 - 28 - 14
55 - 97 - 22 - 94 - 97
69 - 88 - 75 - 77 - 20
55 - 76 - 87 - 87 - 21
44 - 24 - 60 - 94 - 47
46 - 55 - 36 - 4 - 32
89 - 12 - 95 - 36 - 0
16 - 26 - 30 - 24 - 1
20 - 25 - 13 - 7 - 84
7 - 22 - 17 - 44 - 48
69 - 84 - 95 - 93 - 64
63 - 39 - 46 - 59 - 59
37 - 43 - 27 - 22 - 61
11 - 93 - 26 - 38 - 31
9 - 25 - 1 - 14 - 52
12 - 27 - 83 - 92 - 96
76 - 93 - 99 - 4 - 14
95 - 12 - 17 - 97 - 14
66 - 54 - 24 - 23 - 24
12 - 28 - 42 - 81 - 85
81 - 34 - 43 - 37 - 68
82 - 12 - 61 - 37 - 40
28 - 70 - 46 - 30 - 98
29 - 85 - 40 - 19 - 57
24 - 91 - 4 - 54 - 66
89 - 8 - 81 - 55 - 48
63 - 65 - 48 - 28 - 85
75 - 11 - 37 - 76 - 84
15 - 58 - 83 - 91 - 42
36 - 57 - 97 - 30 - 60
52 - 87 - 88 - 6 - 38
55 - 85 - 14 - 88 - 17
91 - 54 - 63 - 21 - 80
74 - 84 - 2 - 96 - 65
88 - 53 - 86 - 83 - 20
5 - 38 - 2 - 47 - 60
22 - 29 - 7 - 52 - 59
0 - 6 - 29 - 77 - 60
75 - 87 - 95 - 61 - 89
46 - 64 - 13 - 7 - 6
30 - 48 - 87 - 77 - 80
85 - 89 - 95 - 92 - 41
69 - 57 - 39 - 34 - 47
28 - 34 - 84 - 80 - 97
81 - 99 - 64 - 90 - 37
8 - 13 - 31 - 61 - 42
0 - 61 - 2 - 22 - 88
64 - 93 - 30 - 98 - 85
85 - 55 - 20 - 1 - 48
97 - 0 - 83 - 63 - 69
3 - 82 - 23 - 13 - 90
3 - 9 - 20 - 5 - 97
88 - 90 - 51 - 88 - 45
58 - 31 - 68 - 46 - 44
75 - 36 - 86 - 35 - 77
57 - 21 - 48 - 57 - 56
56 - 7 - 42 - 69 - 46
92 - 43 - 28 - 84 - 72
77 - 20 - 94 - 20 - 92
63 - 24 - 82 - 5 - 2
28 - 68 - 78 - 27 - 17
82 - 21 - 41 - 62 - 73
8 - 25 - 54 - 46 - 85
42 - 44 - 1 - 62 - 81
69 - 93 - 55 - 47 - 96
44 - 7 - 1 - 13 - 60
94 - 46 - 84 - 14 - 10
55 - 36 - 41 - 46 - 40
16 - 27 - 23 - 47 - 18
81 - 52 - 2 - 79 - 77
35 - 68 - 18 - 0 - 56
19 - 84 - 12 - 50 - 49
91 - 66 - 25 - 64 - 8
42 - 50 - 97 - 15 - 54
43 - 67 - 53 - 2 - 32
89 - 95 - 23 - 95 - 24
8 - 13 - 85 - 82 - 44
98 - 97 - 53 - 39 - 63
6 - 30 - 83 - 62 - 39
43 - 83 - 58 - 91 - 57
45 - 9 - 85 - 58 - 40
88 - 98 - 83 - 67 - 98
37 - 70 - 21 - 95 - 82
74 - 5 - 72 - 65 - 33
72 - 7 - 89 - 45 - 8
6 - 77 - 64 - 52 - 85
19 - 83 - 14 - 19 - 50
10 - 75 - 16 - 85 - 82
60 - 65 - 41 - 30 - 45
65 - 11 - 44 - 93 - 29
56 - 32 - 55 - 91 - 25
46 - 78 - 92 - 66 - 97
97 - 14 - 39 - 42 - 87
70 - 21 - 34 - 34 - 92
20 - 6 - 58 - 4 - 30
88 - 8 - 73 - 65 - 74
6 - 58 - 90 - 43 - 88
39 - 0 - 32 - 95 - 89
51 - 60 - 84 - 30 - 77
32 - 18 - 25 - 3 - 34
96 - 42 - 58 - 52 - 26
39 - 98 - 25 - 79 - 32
90 - 79 - 79 - 32 - 19
54 - 60 - 70 - 64 - 9
34 - 28 - 40 - 77 - 69
14 - 71 - 31 - 4 - 8
80 - 86 - 0 - 53 - 31
32 - 42 - 72 - 11 - 8
55 - 29 - 43 - 86 - 37
94 - 35 - 91 - 17 - 37
72 - 51 - 90 - 58 - 20
37 - 28 - 91 - 32 - 64
80 - 48 - 91 - 4 - 13
12 - 15 - 8 - 26 - 65
5 - 68 - 68 - 33 - 55
54 - 13 - 97 - 10 - 27
80 - 94 - 64 - 9 - 99
58 - 92 - 76 - 69 - 94
97 - 61 - 56 - 59 - 64
40 - 74 - 40 - 32 - 82
42 - 99 - 24 - 47 - 83
3 - 92 - 32 - 38 - 98
89 - 88 - 53 - 43 - 50
93 - 26 - 4 - 32 - 24
0 - 87 - 37 - 33 - 38
14 - 31 - 88 - 77 - 84
23 - 47 - 77 - 34 - 37
98 - 62 - 71 - 91 - 49
24 - 81 - 24 - 22 - 57
62 - 51 - 27 - 61 - 81
2 - 49 - 50 - 74 - 12
72 - 88 - 10 - 60 - 96
77 - 98 - 28 - 69 - 42
75 - 43 - 17 - 69 - 0
71 - 71 - 73 - 48 - 27
66 - 4 - 80 - 25 - 38
57 - 89 - 71 - 82 - 27
76 - 99 - 82 - 62 - 83
88 - 18 - 63 - 87 - 40
23 - 80 - 27 - 50 - 45
64 - 63 - 64 - 73 - 32
40 - 0 - 60 - 3 - 53
48 - 67 - 85 - 43 - 66
5 - 22 - 11 - 76 - 81
3 - 12 - 18 - 86 - 34
8 - 8 - 92 - 68 - 33
75 - 99 - 16 - 34 - 56
29 - 90 - 92 - 76 - 18
33 - 35 - 43 - 21 - 87
22 - 83 - 73 - 73 - 60
57 - 48 - 75 - 7 - 26
74 - 88 - 71 - 93 - 28
18 - 8 - 42 - 38 - 31
54 - 66 - 86 - 59 - 23
32 - 72 - 79 - 85 - 12
49 - 36 - 2 - 66 - 65
99 - 67 - 93 - 7 - 17
14 - 71 - 62 - 96 - 7
95 - 4 - 51 - 25 - 68
47 - 25 - 22 - 18 - 18
3 - 39 - 80 - 51 - 69
50 - 14 - 25 - 55 - 29
69 - 11 - 3 - 43 - 81
24 - 22 - 86 - 0 - 44
49 - 24 - 71 - 52 - 30
16 - 83 - 10 - 52 - 15
16 - 59 - 86 - 42 - 84
88 - 38 - 47 - 94 - 24
77 - 81 - 60 - 43 - 1
34 - 79 - 80 - 39 - 91
62 - 66 - 91 - 80 - 80
91 - 55 - 67 - 80 - 7
5 - 0 - 35 - 10 - 89
9 - 65 - 62 - 73 - 29
63 - 14 - 95 - 77 - 33
18 - 53 - 6 - 63 - 17
75 - 30 - 47 - 10 - 76
39 - 79 - 68 - 48 - 62
72 - 74 - 58 - 17 - 7
49 - 66 - 31 - 33 - 21
73 - 18 - 85 - 99 - 29
39 - 47 - 64 - 7 - 43
1 - 35 - 54 - 90 - 41
85 - 5 - 12 - 27 - 71
90 - 98 - 62 - 41 - 39
35 - 83 - 39 - 23 - 72
